SMILES,pIC50
CC1=CN=CN1CCCN[C@@H](CC2=CC=CC=C2)C(N[C@@H](C)C(OC)=O)=O,6.19
CC1=CN=CN1CCCN[C@@H](CC2=CC=CC=C2)C(N[C@@H](C)C(N)=O)=O,6.35
CSC(O1)=NN=C1C2=CC=C3C(N=CN3)=C2,4.61
CCSC(O1)=NN=C1C2=CC=C3C(N=CN3)=C2,4.83
CCCCCCCCSC(O1)=NN=C1C2=CC=C3C(N=CN3)=C2,4.82
C=CCSC(O1)=NN=C1C2=CC=C3C(N=CN3)=C2,5.14
C12=CC(C3=NN=C(SCC4=CC=CC=C4)O3)=CC=C1NC=N2,5.37
C12=CC(C3=NN=C(SCCCC4=CC=CC=C4)O3)=CC=C1NC=N2,5.12
C12=CC(C3=NN=C(CCC4=CC=CC=C4)O3)=CC=C1NC=N2,5.4
C12=CC(C3=NN=C(COC4=CC=CC=C4)O3)=CC=C1NC=N2,5.37
C12=CC(C3=NN=C(CSC4=CC=CC=C4)O3)=CC=C1NC=N2,5.9
O=S(CC(O1)=NN=C1C2=CC=C3C(N=CN3)=C2)(C4=CC=CC=C4)=O,5.73
C12=CC(C3=CN=C(CCC4=CC=CC=C4)S3)=CC=C1NC=N2,4.61
C12=CC(C3=NC=C(CCC4=CC=CC=C4)S3)=CC=C1NC=N2,5.3
C12=CC(C3=NOC(CCC4=CC=CC=C4)=N3)=CC=C1NC=N2,5.35
C12=CC(C3=NN=C(CCC4=CC=CC=C4)N3)=CC=C1NC=N2,5.34
COC(C(OC)=C1)=CC=C1CCC(O2)=NN=C2C3=CC=C4C(N=CN4)=C3,5.63
COC(C=C1OC)=CC=C1CCC(O2)=NN=C2C3=CC=C4C(N=CN4)=C3,5.5
COC1=C(OC)C=CC=C1CCC(O2)=NN=C2C3=CC=C4C(N=CN4)=C3,5.72
C12=CC(C3=NN=C(CCC4=CC=C5C(OCO5)=C4)O3)=CC=C1NC=N2,5.58
FC1=CC(F)=CC=C1CCC(O2)=NN=C2C3=CC=C4C(N=CN4)=C3,5.35
FC(C(C=C1)=CC=C1CCC(O2)=NN=C2C3=CC=C4C(N=CN4)=C3)(F)F,5.14
FC(C1=CC=C(C(F)(F)F)C=C1CCC(O2)=NN=C2C3=CC=C4C(N=CN4)=C3)(F)F,4.57
COC1=CC(CCC(S2)=NN=C2C3=CC=C4C(N=CN4)=C3)=CC=C1OC,6.14
COC1=C(OC)C=CC=C1CCC(S2)=NN=C2C3=CC=C4C(N=CN4)=C3,6.15
C12=CC(C3=NN=C(CCC4=CC=C5C(OCO5)=C4)S3)=CC=C1NC=N2,6
FC(C=C1F)=CC=C1CCC(S2)=NN=C2C3=CC=C4C(N=CN4)=C3,5.65
FC(C(C=C1)=CC=C1CCC(S2)=NN=C2C3=CC=C4C(N=CN4)=C3)(F)F,4.5
COC(C=C1)=CC=C1CCN2N=NC(C3=CC=C4C(N=CN4)=C3)=C2,6.2
COC1=CC(CCN2N=NC(C3=CC=C4C(N=CN4)=C3)=C2)=CC=C1,6
COC1=CC(CCN2N=NC(C3=CC=C4C(N=CN4)=C3)=C2)=CC=C1OC,6.11
COC1=CC(SCC(S2)=NN=C2C3=CC=C4C(N=CN4)=C3)=CC=C1OC,7.15
COC1=CC(S(CC(S2)=NN=C2C3=CC=C4C(N=CN4)=C3)(=O)=O)=CC=C1OC,6.28
S=C(NCCCN1C(C)=CN=C1)N(C2=CC=C(OCCCCC3=CC(N)=NC=C3)C(OC)=C2)C(C)C,8.85
S=C(NCCCN1C(C)=CN=C1)N(C2=CC=C(OCCCCC3=CC(N)=NC=C3)C(OC)=C2)C4CCCC4,9.3
S=C(NCCCN1C(C)=CN=C1)N(C2=CC=C(OCCCCC3=CC(N)=NC=C3)C(OC)=C2)C4CCCCC4,9.22
O=C(NCCCN1C(C)=CN=C1)NC2=CC=C(OCCCCC3=CC(N)=NC=C3)C(OC)=C2,7.82
O=C(NCCCN1C(C)=CN=C1)N(C)C2=CC=C(OCCCCC3=CC(N)=NC=C3)C(OC)=C2,8.04
O=C(NCCCN1C(C)=CN=C1)N(CC)C2=CC=C(OCCCCC3=CC(N)=NC=C3)C(OC)=C2,7.85
O=C(NCCCN1C(C)=CN=C1)N(C2CC2)C3=CC=C(OCCCCC4=CC(N)=NC=C4)C(OC)=C3,8.33
O=C(NCCCN1C(C)=CN=C1)N(C2CCC2)C3=CC=C(OCCCCC4=CC(N)=NC=C4)C(OC)=C3,8.3
O=C(NCCCN1C(C)=CN=C1)N(C2CCCC2)C3=CC=C(OCCCCC4=CC(N)=NC=C4)C(OC)=C3,8.16
O=C(NCCCN1C(C)=CN=C1)N(C2CCCCC2)C3=CC=C(OCCCCC4=CC(N)=NC=C4)C(OC)=C3,8.44
O=C(NCCCN1C(C)=CN=C1)N(CC2CCCC2)C3=CC=C(OCCCCC4=CC(N)=NC=C4)C(OC)=C3,8.47
O=C(NCCCN1C(C)=CN=C1)N(C2CCN(C)CC2)C3=CC=C(OCCCCC4=CC(N)=NC=C4)C(OC)=C3,8.55
