SMILES,pIC50
C12=CC(C3=NN=C(SCCC4=CC=CC=C4)O3)=CC=C1NC=N2,5.14
C12=CC(C3=NN=C(SCCCC4=CC=CC=C4)O3)=CC=C1NC=N2,5.12
ClC(C=C1)=CC=C1NC(O2)=NN=C2C3=CC=C4C(N=CN4)=C3,4.24
FC(C=C1)=CC=C1NC(O2)=NN=C2C3=CC=C4C(N=CN4)=C3,4.68
CC1=CCCC[C@H]1C(C2=NN=NN2C3CCCC3)NCCCN4C=CN=C4,5.17
ClC(C(Cl)=C1)=CC=C1C(C2=NN=NN2CCCOC)NCCCN3C=CN=C3,5.12
COCCCN1N=NN=C1C(C2=CC=C(C=CC=C3)C3=N2)NCCCN4C=CN=C4,5.51
C=CCN1N=NN=C1C(C2=CC=C(C=CC=C3)C3=N2)NCCCN4C=CN=C4,5.51
OC1=CC=CC(C1=N2)=CC=C2C(C3=NN=NN3CC(OC)=O)NCCCN4C=CN=C4,5.31
O=C(OC)CN1N=NN=C1C([C@H]2CCC=CO2)NCCCN3C=CN=C3,5.31
O=C(OC)CN1N=NN=C1C(C2CC2)NCCCN3C=CN=C3,6.4
COC(N=C(OC)N=C1)=C1C(C2=NN=NN2C(C)(C)C)NCCCN3C=CN=C3,5.07
C1(NC(C2=CSC3=C2C=CC=C3)C4=NN=NN4CC5OCCC5)=CC=C(NC=N6)C6=C1,5.89
COC1=CC(C(C2=NN=NN2CC3CCCO3)NC4=CC=C(NC=N5)C5=C4)=CC=C1,5.12
CC(CC1=CC=C(OCO2)C2=C1)C(C3=NN=NN3CC4OCCC4)NC5=CC=C(NC=N6)C6=C5,5.12
ClC(C(F)=C1)=CC=C1C(C2=NN=NN2C3CCCCC3)NC4=CC=C(NC=N5)C5=C4,5.31
C1(NC(C2CCC=CO2)C3=NN=NN3C4CCCCC4)=CC=C(NC=N5)C5=C1,5.17
CC1=CC(C)=CC(C(C2=NN=NN2CC3=CC=CC=C3)NC4=CC=C(NC=N5)C5=C4)=C1,5.24
CC(C)(C)C(C=C1)=CC=C1N2N=NN=C2C(C3=CC=CC(C(OC)=O)=C3)NC4=CC=C(NC=N5)C5=C4,5.17
OC(C(C)=C1)=C(C)C=C1C(C2=NN=NN2CC3OCCC3)NC4=CC=C(NC=N5)C5=C4,5.17
CCC(S1)=CC=C1C(C2=NN=NN2CC3=CC=CC=C3)NC4=CC=C(NC=N5)C5=C4,5.51
C1(NC(C2=CC=C(N3CCCC3)C=C2)C4=NN=NN4CC5OCCC5)=CC=C(NC=N6)C6=C1,5.17
C1(NC(C2=CC=C(OCO3)C3=C2)C4=NN=NN4C5=CC=C(OC6=CC=CC=C6)C=C5)=CC=C(NC=N7)C7=C1,5.4
FC(C=C1)=CC2=C1C(C(C3=NN=NN3CC4OCCC4)NC5=CC=C(NC=N6)C6=C5)=CN2,5.24
ClC1=C([N+]([O-])=O)C=C(C=C1)C(C2=NN=NN2CC3=CC=CC=C3Cl)NC4=CC=C(NC=N5)C5=C4,5.89
O=C(OC(C)(C)C)CN1N=NN=C1C(C(C)CC2=CC=C(OCO3)C3=C2)NC4=CC=C(NC=N5)C5=C4,5.31
OC1=CC(C(C2=NN=NN2CC3OCCC3)NC4=CC=C(NC=N5)C5=C4)=CC=C1,5.03
C/C=C/C=C/C(C1=NN=NN1CCC2=CC=CS2)NC3=CC=C(NC=N4)C4=C3,5.24
COC(C=C1)=C(F)C=C1C(C2=NN=NN2CC3CCCO3)NC4=CC=C(NC=N5)C5=C4,5.07
CC(C=C1)=C(C)C=C1C(C2=NN=NN2CCCN3CCCC3=O)NC4=CC=C(NC=N5)C5=C4,5.31
OC(C(C)=C1)=C(C)C=C1C(C2=NN=NN2CC3OC(C)(C)OC3)NC4=CC=C(NC=N5)C5=C4,5.24
